date,gtq
2012-07-28,7.83494
2012-07-29,7.83494
2012-07-30,7.837680000000001
2012-07-31,7.83494
2012-08-01,7.859939999999999
2012-08-02,7.7641800000000005
2012-08-03,7.750319999999999
2012-08-04,7.68853
2012-08-05,7.788880000000001
2012-08-06,7.85865
2012-08-07,7.82017
2012-08-08,7.86025
2012-08-09,8.01126
2012-08-10,7.9227
2012-08-11,7.8239399999999995
2012-08-12,7.856439999999999
2012-08-13,7.86685
2012-08-14,7.87092
2012-08-15,7.87092
2012-08-16,7.87135
2012-08-17,7.87206
2012-08-18,7.87206
2012-08-19,7.87206
2012-08-20,7.869280000000001
2012-08-21,7.86227
2012-08-22,7.86411
2012-08-23,7.87886
2012-08-24,7.901960000000001
2012-08-25,7.901960000000001
2012-08-26,7.901960000000001
2012-08-27,7.912089999999999
2012-08-28,7.91443
2012-08-29,7.928439999999999
2012-08-30,7.93508
2012-08-31,7.944539999999999
2012-09-01,7.852760000000001
2012-09-02,7.75202
2012-09-03,7.7377
2012-09-04,7.69678
2012-09-05,7.77615
2012-09-06,7.85865
2012-09-07,7.81964
2012-09-08,7.859380000000001
2012-09-09,8.01126
2012-09-10,7.900119999999999
2012-09-11,7.8326899999999995
2012-09-12,7.856439999999999
2012-09-13,7.995419999999999
2012-09-14,7.981310000000001
2012-09-15,7.981310000000001
2012-09-16,7.981310000000001
2012-09-17,7.981310000000001
2012-09-18,7.961289999999999
2012-09-19,7.94918
2012-09-20,7.94043
2012-09-21,7.937239999999999
2012-09-22,7.937239999999999
2012-09-23,7.937239999999999
2012-09-24,7.96293
2012-09-25,7.957110000000001
2012-09-26,7.95562
2012-09-27,7.95637
2012-09-28,7.95719
2012-09-29,7.95719
2012-09-30,7.95719
2012-10-01,7.8226
2012-10-02,7.75386
2012-10-03,7.7377
2012-10-04,7.706169999999999
2012-10-05,7.77257
2012-10-06,7.85865
2012-10-07,7.81721
2012-10-08,7.86137
2012-10-09,8.0151
2012-10-10,7.889880000000001
2012-10-11,7.8326899999999995
2012-10-12,7.8345199999999995
2012-10-13,7.8905
2012-10-14,7.8905
2012-10-15,7.8823300000000005
2012-10-16,7.87127
2012-10-17,7.85561
2012-10-18,7.8337
2012-10-19,7.8341
2012-10-20,7.8341
2012-10-21,7.8341
2012-10-22,7.8341
2012-10-23,7.83387
2012-10-24,7.84387
2012-10-25,7.86074
2012-10-26,7.87369
2012-10-27,7.87369
2012-10-28,7.87369
2012-10-29,7.86448
2012-10-30,7.83489
2012-10-31,7.83552
2012-11-01,7.828810000000001
2012-11-02,7.75386
2012-11-03,7.7377
2012-11-04,7.7166
2012-11-05,7.778169999999999
2012-11-06,7.875660000000001
2012-11-07,7.814780000000001
2012-11-08,7.86137
2012-11-09,8.01533
2012-11-10,7.8905
2012-11-11,7.8326899999999995
2012-11-12,7.82233
2012-11-13,7.82304
2012-11-14,7.83254
2012-11-15,7.84373
2012-11-16,7.86419
2012-11-17,7.86419
2012-11-18,7.86419
2012-11-19,7.8741
2012-11-20,7.87485
2012-11-21,7.878889999999999
2012-11-22,7.895580000000001
2012-11-23,7.91538
2012-11-24,7.91538
2012-11-25,7.91538
2012-11-26,7.93164
2012-11-27,7.935560000000001
2012-11-28,7.934989999999999
2012-11-29,7.913239999999999
2012-11-30,7.89134
2012-12-01,7.8239399999999995
2012-12-02,7.75386
2012-12-03,7.73256
2012-12-04,7.7215300000000004
2012-12-05,7.778169999999999
2012-12-06,7.8762300000000005
2012-12-07,7.81487
2012-12-08,7.86137
2012-12-09,8.00412
2012-12-10,7.8905
2012-12-11,7.83018
2012-12-12,7.825880000000001
2012-12-13,7.87453
2012-12-14,7.89232
2012-12-15,7.89232
2012-12-16,7.89232
2012-12-17,7.88484
2012-12-18,7.878489999999999
2012-12-19,7.90885
2012-12-20,7.938680000000001
2012-12-21,7.9517
2012-12-22,7.9517
2012-12-23,7.9517
2012-12-24,7.94883
2012-12-25,7.94883
2012-12-26,7.93565
2012-12-27,7.921469999999999
2012-12-28,7.9023
2012-12-29,7.9023
2012-12-30,7.9023
2012-12-31,7.9023
2013-01-01,7.9023
2013-01-02,7.817889999999999
2013-01-03,7.841069999999999
2013-01-04,7.772010000000001
2013-01-05,7.78443
2013-01-06,7.79449
2013-01-07,7.83298
2013-01-08,7.83953
2013-01-09,7.963430000000001
2013-01-10,7.944839999999999
2013-01-11,7.922680000000001
2013-01-12,7.900519999999999
2013-01-13,7.90917
2013-01-14,7.8983
2013-01-15,7.88209
2013-01-16,7.86683
2013-01-17,7.85367
2013-01-18,7.858960000000001
2013-01-19,7.858960000000001
2013-01-20,7.858960000000001
2013-01-21,7.852869999999999
2013-01-22,7.84381
2013-01-23,7.8428
2013-01-24,7.84275
2013-01-25,7.848789999999999
2013-01-26,7.848789999999999
2013-01-27,7.848789999999999
2013-01-28,7.861210000000001
2013-01-29,7.864669999999999
2013-01-30,7.84912
2013-01-31,7.82798
2013-02-01,7.90252
2013-02-02,7.817889999999999
2013-02-03,7.841069999999999
2013-02-04,7.7712
